,STATE_FP,STUSPS,STATE_NAME,STATENS,PARTY
0,1,AL,Alabama,1779775,R
1,2,AK,Alaska,1785533,R
2,4,AZ,Arizona,1779777,R
3,5,AR,Arkansas,68085,R
4,6,CA,California,1779778,D
5,8,CO,Colorado,1779779,D
6,9,CT,Connecticut,1779780,D
7,10,DE,Delaware,1779781,D
8,11,DC,District of Columbia,1702382,D
9,12,FL,Florida,294478,R
10,13,GA,Georgia,1705317,R
11,15,HI,Hawaii,1779782,D
12,16,ID,Idaho,1779783,R
13,17,IL,Illinois,1779784,D
14,18,IN,Indiana,448508,R
15,19,IA,Iowa,1779785,R
16,20,KS,Kansas,481813,R
17,21,KY,Kentucky,1779786,R
18,22,LA,Louisiana,1629543,R
19,23,ME,Maine,1779787,D
20,24,MD,Maryland,1714934,D
21,25,MA,Massachusetts,606926,D
22,26,MI,Michigan,1779789,R
23,27,MN,Minnesota,662849,D
24,28,MS,Mississippi,1779790,R
25,29,MO,Missouri,1779791,R
26,30,MT,Montana,767982,R
27,31,NE,Nebraska,1779792,R
28,32,NV,Nevada,1779793,D
29,33,NH,New Hampshire,1779794,D
30,34,NJ,New Jersey,1779795,D
31,35,NM,New Mexico,897535,D
32,36,NY,New York,1779796,D
33,37,NC,North Carolina,1027616,R
34,38,ND,North Dakota,1779797,R
35,39,OH,Ohio,1085497,R
36,40,OK,Oklahoma,1102857,R
37,41,OR,Oregon,1155107,D
38,42,PA,Pennsylvania,1779798,R
39,44,RI,Rhode Island,1219835,D
40,45,SC,South Carolina,1779799,R
41,46,SD,South Dakota,1785534,R
42,47,TN,Tennessee,1325873,R
43,48,TX,Texas,1779801,R
44,49,UT,Utah,1455989,R
45,50,VT,Vermont,1779802,D
46,51,VA,Virginia,1779803,D
47,53,WA,Washington,1779804,D
48,54,WV,West Virginia,1779805,R
49,55,WI,Wisconsin,1779806,R
50,56,WY,Wyoming,1779807,R
51,60,AS,American Samoa,1802701,
52,66,GU,Guam,1802705,
53,69,MP,Northern Mariana Islands,1779809,
54,72,PR,Puerto Rico,1779808,
55,74,UM,U.S. Minor Outlying Islands,1878752,
56,78,VI,U.S. Virgin Islands,1802710,
